product_code,name,category,is_active
10104,松の司　出品大吟醸（箱入）　1.8L,日本酒,False
10105,喜楽里　純米　原酒　1.8L,日本酒,False
10106,喜楽里　純米　原酒　720ml,日本酒,False
10107,松の司　大吟醸純米（箱入）　1.8L,日本酒,False
10108,睡龍　生もと　純米吟醸　1.8L,日本酒,False
10109,睡龍　生もと　純米吟醸　720ml,日本酒,False
10110,睡龍　生もと　純米　1.8L,日本酒,False
10111,睡龍　生もと　純米　720ml,日本酒,False
10112,睡龍　生もとのどぶ　火入　1.8L,日本酒,True
10113,睡龍　生もとのどぶ火入720ml使用しない,日本酒,False
10114,睡龍　純米　無濾過生原酒　1.8L,日本酒,False
10115,睡龍　純米　無濾過生原酒　720ml,日本酒,False
10116,睡龍　純米吟醸　無濾過生原酒　1.8L,日本酒,False
10117,睡龍　純米吟醸　無濾過生原酒　720ml,日本酒,False
10118,喜楽里　純米吟醸　中取り生原酒　1.8L,日本酒,True
10119,喜楽里　純米吟醸　生原酒　1.8L,日本酒,False
10120,松の司　山廃純米吟醸　心酔　2006　1.8L,日本酒,False
10121,松の司　純米吟醸　中取り　720ml,日本酒,False
10122,喜楽里　純米吟醸　生原酒　720ml,日本酒,False
10123,大那　純米吟醸　那須五百万石　720ml,日本酒,False
10124,大那　純米吟醸　那須五百万石　1.8L,日本酒,False
10125,大那　特別純米　無濾過生原酒　1.8L,日本酒,False
10126,大那　純米大吟醸　無濾過原酒　720ml,日本酒,False
10127,大那　純米大吟醸　無濾過原酒　1.8L,日本酒,False
10128,大那　純米吟醸　雄町　720ml,日本酒,False
10129,大那　純米吟醸　雄町　1.8L,日本酒,False
10130,大那　純米吟醸　山田錦　720ml,日本酒,False
10131,大那　純米吟醸　山田錦　1.8L,日本酒,False
10132,松の司　生もと純米吟醸　心酔　1.8L,日本酒,False
10133,松の司　生もと純米吟醸　心酔　720ml,日本酒,False
10134,松の司 生もと 純大吟 アゾラ(火入)1.8L,日本酒,False
10135,使用禁止コード,日本酒,False
10136,睡龍　純米吟醸　720ml　使用しない,日本酒,False
10137,松の司　純米吟醸アゾラ（火入）720ml,日本酒,False
10138,松の司　大吟醸　Classic　1.5L,日本酒,False
10139,睡龍　純米　涼　1.8L,日本酒,False
10140,睡龍　生もとのどぶ　火入原酒　1.8L,日本酒,False
10141,喜楽里　本醸造原酒　1.8L,日本酒,False
10142,喜楽里　本醸造原酒　720ml,日本酒,False
10143,黒牛　純米　あきあがり　1.8L,日本酒,True
10144,睡龍生もとのどぶ火入720mlBY　使用しない,日本酒,False
10145,菊姫　黒吟（箱入）　720ml,日本酒,True
10146,大那　純米吟醸　おりがらみ　生　1.8L,日本酒,False
10147,松の司 純米大吟醸 竜王山田錦 山面 1.8L,日本酒,False
10148,松の司 純米大吟醸 竜王山田錦 山面 720ml,日本酒,False
10149,松の司　純米吟醸　竜王渡舟　1.8L,日本酒,False
10150,松の司　純米吟醸　竜王渡舟　720ml,日本酒,False
10151,上喜元　純米吟醸　山田錦　720ml,日本酒,False
10152,上喜元　吟醸　生詰　1.8L,日本酒,False
10153,上喜元　特別純米　からくち　1.8L,日本酒,False
10154,上喜元　純米吟醸　亀の尾　1.8L,日本酒,False
10155,上喜元　純米吟醸　山田錦　1.8L,日本酒,False
10156,黒龍　大吟醸　龍（箱入）　1.8L,日本酒,True
10157,黒龍　大吟醸　龍（箱入）　720ml,日本酒,True
10158,黒龍　大吟醸（箱入）　1.8L,日本酒,True
10159,黒龍　大吟醸（箱入）　720ml,日本酒,True
10160,黒龍　特吟　1.8L,日本酒,False
10161,黒龍　特吟　720ml,日本酒,False
10162,黒龍　純吟　1.8L,日本酒,True
10163,黒龍　純吟　720ml,日本酒,True
10164,黒龍　いっちょらい　1.8L,日本酒,True
10165,黒龍　いっちょらい　720ml,日本酒,True
10166,黒龍　本醸造　1.8L,日本酒,False
10167,九頭龍　逸品　1.8L,日本酒,True
10168,黒龍　春しぼり　1.8L,日本酒,True
10169,黒龍　春しぼり　720ml,日本酒,True
10170,上喜元　超辛純米吟醸　完全発酵　1.8L,日本酒,True
10171,黒龍 福ボトル 720ml,日本酒,True
10172,黒龍　大吟醸　しずく　720ml,日本酒,True
10173,大那　特別純米　那須玉苗　1.8L,日本酒,False
10174,大那　純米吟醸　那須五百万石　生　720ml,日本酒,False
10175,大那　純米吟醸　那須五百万石　生　1.8L,日本酒,False
10176,睡龍　生もとのどぶ　生原酒　1.8L,日本酒,False
10177,睡龍　生もとのどぶ　火入　720ml,日本酒,False
10178,睡龍　生もと　純米　1.8L　1995年,日本酒,False
10179,上喜元　純米吟醸　亀の尾　720ml,日本酒,False
10180,黒龍　吟のとびら　150ml,日本酒,True
10181,紀土　純米吟醸　1.8L,日本酒,True
10182,紀土　純米　1.8L,日本酒,True
10183,黒龍 秋あがり 1.8L,日本酒,False
10184,黒龍 秋あがり 720ml,日本酒,False
