"","","10113","睡龍　生もとのどぶ火入720ml使用しない","本","","標","0","0","0","0","0","1040","0","","",
"","","10114","睡龍　純米　無濾過生原酒　1.8L","本","","標","0","0","0","0","0","2000","0","","",
"","","10115","睡龍　純米　無濾過生原酒　720ml","本","","標","0","0","0","0","0","960","0","","20150627",
"","","10116","睡龍　純米吟醸　無濾過生原酒　1.8L","本","","標","0","0","0","0","0","2540","0","","",
"","","10117","睡龍　純米吟醸　無濾過生原酒　720ml","本","","標","0","0","0","0","0","1270","0","","",
"","","10118","喜楽里　純米吟醸　中取り生原酒　1.8L","本","","標","5","6","2","1","8","3150","25200","20230414","20230411",
"","","10119","喜楽里　純米吟醸　生原酒　1.8L","本","","標","0","0","0","0","0","2677","0","20190322","20200601",
"","","10120","松の司　山廃純米吟醸　心酔　2006　1.8L","本","","標","0","0","0","0","0","2475","0","","20150208",
"","","10121","松の司　純米吟醸　中取り　720ml","本","","標","0","0","0","0","0","1275","0","20150826","20151220",
"","","10122","喜楽里　純米吟醸　生原酒　720ml","本","","標","0","0","0","0","0","1338","0","20190520","20220404",
"","","10123","大那　純米吟醸　那須五百万石　720ml","本","","標","0","0","0","0","0","980","0","","",
"","","10124","大那　純米吟醸　那須五百万石　1.8L","本","","標","0","0","0","0","0","1960","0","","",
"","","10125","大那　特別純米　無濾過生原酒　1.8L","本","","標","0","0","0","0","0","1750","0","","",
"","","10126","大那　純米大吟醸　無濾過原酒　720ml","本","","標","0","0","0","0","0","1610","0","","",
"","","10127","大那　純米大吟醸　無濾過原酒　1.8L","本","","標","0","0","0","0","0","3150","0","","",
"","","10128","大那　純米吟醸　雄町　720ml","本","","標","0","0","0","0","0","1050","0","","",
"","","10129","大那　純米吟醸　雄町　1.8L","本","","標","0","0","0","0","0","2100","0","","",
"","","10130","大那　純米吟醸　山田錦　720ml","本","","標","0","0","0","0","0","980","0","","",
"","","10131","大那　純米吟醸　山田錦　1.8L","本","","標","0","0","0","0","0","1960","0","","",
"","","10132","松の司　生もと純米吟醸　心酔　1.8L","本","","標","0","0","0","0","0","2550","0","20150608","20150803",
"","","10133","松の司　生もと純米吟醸　心酔　720ml","本","","標","0","0","0","0","0","1275","0","","20150226",
"","","10134","松の司 生もと 純大吟 アゾラ(火入)1.8L","本","","標","0","0","0","0","0","3600","0","20190912","20191108",
"","","10135","使用禁止コード","","","標","0","0","0","0","0","0","0","","20150412",
"","","10136","睡龍　純米吟醸　720ml　使用しない","本","","標","0","0","0","0","0","1130","0","","",
"","","10137","松の司　純米吟醸アゾラ（火入）720ml","本","","標","0","0","0","0","0","1687","0","20180602","20190207",
"","","10138","松の司　大吟醸　Classic　1.5L","本","","標","0","0","0","0","0","7000","0","","",
"","","10139","睡龍　純米　涼　1.8L","本","","標","0","0","0","0","0","1660","0","20141111","20141221",
"","","10140","睡龍　生もとのどぶ　火入原酒　1.8L","本","","標","0","0","0","0","0","2460","0","20160315","20160802",
"","","10141","喜楽里　本醸造原酒　1.8L","本","","標","0","0","0","0","0","1392","0","20170525","20170917",
"","","10142","喜楽里　本醸造原酒　720ml","本","","標","0","0","0","0","0","696","0","","20150530",
"","","10143","黒牛　純米　あきあがり　1.8L","本","","標","0","0","0","0","0","2130","0","20220922","20221014",
"","","10144","睡龍生もとのどぶ火入720mlBY　使用しない","本","","標","0","0","0","0","0","970","0","","",
"","","10145","菊姫　黒吟（箱入）　720ml","本","","標","1","0","0","0","1","11440","11440","20221128","20230217",
"","","10146","大那　純米吟醸　おりがらみ　生　1.8L","本","","標","0","0","0","0","0","2240","0","","",
"","","10147","松の司 純米大吟醸 竜王山田錦 山面 1.8L","本","","標","0","0","0","0","0","3075","0","","",
"","","10148","松の司 純米大吟醸 竜王山田錦 山面 720ml","本","","標","0","0","0","0","0","1687","0","20210426","20211119",
"","","10149","松の司　純米吟醸　竜王渡舟　1.8L","本","","標","0","0","0","0","0","2625","0","","",
"","","10150","松の司　純米吟醸　竜王渡舟　720ml","本","","標","0","0","0","0","0","1312","0","","",
"","","10151","上喜元　純米吟醸　山田錦　720ml","本","","標","0","0","0","0","0","1181","0","20170515","20171126",
"","","10152","上喜元　吟醸　生詰　1.8L","本","","標","0","0","0","0","0","1650","0","","",
"","","10153","上喜元　特別純米　からくち　1.8L","本","","標","0","0","0","0","0","1837","0","20190527","20190901",
"","","10154","上喜元　純米吟醸　亀の尾　1.8L","本","","標","0","0","0","0","0","2363","0","","20161222",
"","","10155","上喜元　純米吟醸　山田錦　1.8L","本","","標","0","0","0","0","0","2362","0","20201112","20210219",
"","","10156","黒龍　大吟醸　龍（箱入）　1.8L","本","","標","1","12","7","0","6","6000","36000","20230426","20230427",
"","","10157","黒龍　大吟醸　龍（箱入）　720ml","本","","標","4","24","11","0","17","3000","51000","20230426","20230429",
"","","10158","黒龍　大吟醸（箱入）　1.8L","本","","標","0","18","6","0","12","3750","45000","20230426","20230423",
"","","10159","黒龍　大吟醸（箱入）　720ml","本","","標","0","36","25","0","11","1875","20625","20230426","20230428",
"","","10160","黒龍　特吟　1.8L","本","","標","0","0","0","0","0","2420","0","20210402","20210416",
"","","10161","黒龍　特吟　720ml","本","","標","0","0","0","0","0","1180","0","20210302","20210618",
"","","10162","黒龍　純吟　1.8L","本","","標","0","66","39","0","27","2250","60750","20230426","20230429",
"","","10163","黒龍　純吟　720ml","本","","標","0","24","12","0","12","1120","13440","20230426","20230415",
"","","10164","黒龍　いっちょらい　1.8L","本","","標","0","12","6","0","6","1935","11610","20230426","20230412",
"","","10165","黒龍　いっちょらい　720ml","本","","標","7","24","15","0","16","945","15120","20230426","20230428",
"","","10166","黒龍　本醸造　1.8L","本","","標","0","0","0","0","0","1453","0","20150316","20150530",
"","","10167","九頭龍　逸品　1.8L","本","","標","40","96","56","0","80","1488","119040","20230426","20230428",
"","","10168","黒龍　春しぼり　1.8L","本","","標","0","0","0","0","0","2152","0","20230306","20230317",
"","","10169","黒龍　春しぼり　720ml","本","","標","20","0","20","0","0","1082","0","20230306","20230415",
"","","10170","上喜元　超辛純米吟醸　完全発酵　1.8L","本","","標","12","18","30","0","0","1960","0","20230406","20230425",
"","","10171","黒龍 福ボトル 720ml","本","","標","14","12","2","0","24","3500","84000","20230426","20230410",
"","","10172","黒龍　大吟醸　しずく　720ml","本","","標","14","0","2","0","12","4500","54000","20221107","20230413",
"","","10173","大那　特別純米　那須玉苗　1.8L","本","","標","0","0","0","0","0","1890","0","","",
"","","10174","大那　純米吟醸　那須五百万石　生　720ml","本","","標","0","0","0","0","0","980","0","","",
"","","10175","大那　純米吟醸　那須五百万石　生　1.8L","本","","標","0","0","0","0","0","1960","0","","",
"","","10176","睡龍　生もとのどぶ　生原酒　1.8L","本","","標","0","0","0","0","0","2460","0","20160303","20160528",
"","","10177","睡龍　生もとのどぶ　火入　720ml","本","","標","0","0","0","0","0","1100","0","20190523","20190820",
"","","10178","睡龍　生もと　純米　1.8L　1995年","本","","標","0","0","0","0","0","2130","0","","",
"","","10179","上喜元　純米吟醸　亀の尾　720ml","本","","標","0","0","0","0","0","1181","0","","20160508",
"","","10180","黒龍　吟のとびら　150ml","本","","標","135","144","50","0","229","360","82440","20230426","20230501",
"","","10181","紀土　純米吟醸　1.8L","本","","標","30","78","84","0","24","1469","35256","20230426","20230429",
"","","10182","紀土　純米　1.8L","本","","標","19","48","39","0","28","1235","34580","20230426","20230430",
"","","10183","黒龍 秋あがり 1.8L","本","","標","0","0","0","0","0","2673","0","20220830","20220929",
